a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.42-1
acl 2.2.52-2
acpi 1.7-1
acpid 2.0.27-1
adobe-source-code-pro-fonts 2.010ro+1.030it-1
adobe-source-han-sans-otc-fonts 1.004-1
adwaita-icon-theme 3.20-2
alsa-lib 1.1.1-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.1-1
alsi 0.4.7-1
android-tools 6.0.1_r30-1
android-udev 20160408-1
antergos-gnome-defaults-list 1.0-1
antergos-keyring 20150806-1
antergos-mirrorlist 20160611-1
antergos-repo-priority 1.0.4-2
antergos-wallpapers 0.6-1
antergos-welcome 0.0.2-2
apr 1.5.2-1
apr-util 1.5.4-2
archlinux-keyring 20160402-1
arpack 3.3.0-1
artwiz-fonts 1.3-8
asciidoc 8.6.9-2
asciiquarium 1.1-4
aspell 0.60.6.1-5
at-spi2-atk 2.20.1-2
at-spi2-core 2.20.2-1
atk 2.20.0-1
atkmm 2.24.2-2
atom-editor 1.8.0-1
attr 2.4.47-1
audiofile 0.3.6-3
autoconf 2.69-3
autoconf-archive 1:2016.03.20-4
automake 1.15-1
avahi 0.6.32-2
b43-fwcutter 019-1
babl 0.1.14-1
baobab 3.20.1-1
bash 4.3.042-4
bash-completion 2.3-4
bazel 0.3.0-1
bc 1.06.95-2
bijiben 3.20.2-1
bind-tools 9.10.4.P1-2
binutils 2.26-4
bison 3.0.4-2
blueberry 1.1.2-2
bluez 5.40-1
bluez-libs 5.40-1
bluez-utils 5.40-1
boost 1.60.0-5
boost-libs 1.60.0-5
brasero 3.12.1-1
btrfs-progs 4.5.3-1
bzip2 1.0.6-5
bzr 2.7.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-3
ca-certificates-mozilla 3.24-1
ca-certificates-utils 20160507-1
cairo 1.14.6-1
cairomm 1.12.0-2
calibre 2.59.0-1
cantarell-fonts 1:0.0.24-1
cargo 0.10.0-2
caribou 0.4.20+12+g31103d1-1
cblas 3.6.0-5
cdparanoia 10.2-5
cdrdao 1.2.3-8
cdrkit 1.1.11-3
celt 0.11.3-2
chmlib 0.40-4
chromaprint 1.3.1-1
chromium 51.0.2704.84-1
chromium-pepper-flash 1:22.0.0.192-1
cifs-utils 6.5-1
cinnamon 3.0.5-1
cinnamon-control-center 3.0.0-2
cinnamon-desktop 3.0.2-1
cinnamon-menus 3.0.2-1
cinnamon-screensaver 3.0.0-1
